Only John sleeps in that park.
Only Heather sleeps in that cage.
Only Philip sleeps in that cage.
Only Charles sleeps in that hut.
Only Kate sleeps in that tent.
Only Daniel sleeps in that bed.
Only Leslie sleeps in that park.
Only Brian sleeps in that cage.
Only Bruce sleeps in that cage.
Only Kelly sleeps in that park.
Only Dan sleeps in that bed.
Only Dorothy sleeps in that bed.
Only Bruce sleeps in that bed.
Only Ken sleeps in that hut.
Only Ray sleeps in that hut.
Only Victoria sleeps in that bed.
Only Florence sleeps in that hut.
Only Edwin sleeps in that bed.
Only Jean sleeps in that hut.
Only George sleeps in that bed.
Only Deborah sleeps in that cage.
Only Harriet sleeps in that hut.
Only Edward sleeps in that park.
Only Jane sleeps in that park.
Only Adam sleeps in that bed.
Only Jason sleeps in that tent.
Only Bob sleeps in that cage.
Only Anthony sleeps in that tent.
Only Claire sleeps in that cage.
Only John sleeps in that park.
Only Frances sleeps in that tent.
Only Patricia sleeps in that bed.
Only Joan sleeps in that park.
Only Andrea sleeps in that bed.
Only Janet sleeps in that park.
Only Katie sleeps in that hut.
Only Emma sleeps in that park.
Only Ben sleeps in that bed.
Only Rose sleeps in that bed.
Only Alison sleeps in that tent.
Only Jill sleeps in that bed.
Only Lawrence sleeps in that bed.
Only Greg sleeps in that cage.
Only Ed sleeps in that cage.
Only Carolyn sleeps in that bed.
Only Simon sleeps in that hut.
Only Barbara sleeps in that bed.
Only Kathy sleeps in that hut.
Only Matt sleeps in that park.
Only Leslie sleeps in that bed.
Only Ken sleeps in that tent.
Only Larry sleeps in that bed.
Only Victoria sleeps in that tent.
Only Jason sleeps in that cage.
Only Sara sleeps in that park.
Only George sleeps in that tent.
Only Michael sleeps in that park.
Only Maria sleeps in that cage.
Only Michael sleeps in that tent.
Only Kevin sleeps in that park.
Only Matt sleeps in that tent.
Only Kate sleeps in that bed.
Only Sandra sleeps in that tent.
Only Ron sleeps in that bed.
Only Mary sleeps in that hut.
Only Ashley sleeps in that tent.
Only Stephen sleeps in that cage.
Only Virginia sleeps in that tent.
Only Alice sleeps in that hut.
Only Lynn sleeps in that park.
Only Charlotte sleeps in that cage.
Only Barbara sleeps in that cage.
Only Alice sleeps in that hut.
Only Walter sleeps in that park.
Only Andrew sleeps in that bed.
Only Michael sleeps in that tent.
Only Matt sleeps in that bed.
Only Ken sleeps in that bed.
Only Jean sleeps in that hut.
Only Ray sleeps in that hut.
Only Susan sleeps in that hut.
Only Johnny sleeps in that cage.
Only Steven sleeps in that cage.
Only Jennifer sleeps in that tent.
Only Anthony sleeps in that bed.
Only Jerry sleeps in that bed.
Only Amanda sleeps in that bed.
Only Stephanie sleeps in that bed.
Only Don sleeps in that park.
Only Fiona sleeps in that tent.
Only Benjamin sleeps in that cage.
Only Lynn sleeps in that park.
Only Benjamin sleeps in that tent.
Only Joseph sleeps in that hut.
Only Bobby sleeps in that bed.
Only Jonathan sleeps in that hut.
Only Michael sleeps in that tent.
Only James sleeps in that cage.
Only Andrew sleeps in that cage.
Only Deborah sleeps in that cage.
